Data,Produto,Razão Não Conformidade,Tipo Não Conformidade,Rejeição (S/N),,,,,,,,
05/02/2019,Bacalhau Graúdo,Empoado,Major,N,,,,,,,,
31/01/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
29/01/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
28/01/2019,Bacalhau Pacífico Especial,Peso,Minor,S,,,,,,,,
24/01/2019,Bacalhau Especial,Excesso humidade,Major,N,,,,,,,,
14/01/2019,Paloco Pacífico Desfiado,Defeitos embalamento,Minor,N,,,,,,,,
14/01/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
11/01/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
11/01/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
08/01/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
04/01/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
03/01/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
02/01/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
27/12/2018,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
26/12/2018,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
21/12/2018,Bacalhau Crescido,Defeitos embalamento,Minor,N,,,,,,,,
21/12/2018,Bacalhau Especial,Peso,Minor,N,,,,,,,,
20/12/2018,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
20/12/2018,Bacalhau Especial,Peso,Minor,N,,,,,,,,
19/12/2018,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
18/12/2018,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
18/12/2018,Bacalhau Islândia Especial,Defeitos embalamento,Minor,N,,,,,,,,
18/12/2018,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
18/12/2018,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
17/12/2018,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
17/12/2018,Bacalhau Especial,Rastreabilidade,Minor,N,,,,,,,,
17/12/2018,Rabos de Bacalhau,Rastreabilidade,Minor,N,,,,,,,,
17/12/2018,Caldeirada,Rastreabilidade,Minor,N,,,,,,,,
17/12/2018,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
14/12/2018,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
13/12/2018,Bacalhau Graúdo,Rastreabilidade,Minor,N,,,,,,,,
13/12/2018,Bacalhau Especial,Excesso humidade,Major,N,,,,,,,,
12/12/2018,Bacalhau Especial,Excesso humidade,Major,N,,,,,,,,
12/12/2018,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
10/12/2018,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
10/12/2018,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
07/12/2018,Barrigas Bacalhau,Rastreabilidade,Minor,N,,,,,,,,
07/12/2018,Bacalhau Especial,Peso,Minor,N,,,,,,,,
06/12/2018,Bacalhau Especial,Peso,Minor,N,,,,,,,,
06/12/2018,Bacalhau Especial,Peso,Minor,N,,,,,,,,
05/12/2018,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
05/12/2018,Bacalhau Islândia Crescido,Peso,Minor,N,,,,,,,,
