,,,,,,,,,,,
,,,,,,,,,,,
Data,Temperatura Receção Logística (ºC),Conformidade Temp Receção,Conformidade Temp Receção HACCP,NC por Tº elevada (S/N),,,,,,,
21/02/2020,10.90,NC,NC,N,,,,,,,
20/02/2020,6.90,C,C,N,,,,,,,
19/02/2020,10.80,NC,NC,N,,,,,,,
18/02/2020,9.00,NC,C,N,,,,,,,
17/02/2020,10.80,NC,NC,N,,,,,,,
14/02/2020,9.00,NC,C,N,,,,,,,
13/02/2020,10.80,NC,NC,N,,,,,,,
12/02/2020,7.70,NC,C,N,,,,,,,
11/02/2020,10.90,NC,NC,N,,,,,,,
10/02/2020,10.80,NC,NC,N,,,,,,,
07/02/2020,8.60,NC,C,N,,,,,,,
05/02/2020,10.90,NC,NC,N,,,,,,,
04/02/2020,11.60,NC,NC,N,,,,,,,
03/02/2020,9.80,NC,NC,N,,,,,,,
31/01/2020,9.20,NC,NC,N,,,,,,,
30/01/2020,10.40,NC,NC,N,,,,,,,
27/01/2020,11.40,NC,NC,N,,,,,,,
24/01/2020,9.20,NC,NC,N,,,,,,,
20/01/2020,11.10,NC,NC,N,,,,,,,
17/01/2020,11.40,NC,NC,N,,,,,,,
16/01/2020,10.80,NC,NC,N,,,,,,,
15/01/2020,11.80,NC,NC,N,,,,,,,
14/01/2020,7.10,NC,C,N,,,,,,,
13/01/2020,8.90,NC,C,N,,,,,,,
11/01/2020,10.60,NC,NC,N,,,,,,,
10/01/2020,8.00,NC,C,N,,,,,,,
09/01/2020,8.30,NC,C,N,,,,,,,
08/01/2020,8.10,NC,C,N,,,,,,,
07/01/2020,8.20,NC,C,N,,,,,,,
06/01/2020,9.80,NC,NC,N,,,,,,,
03/01/2020,5.70,C,C,N,,,,,,,
02/01/2020,8.00,NC,C,N,,,,,,,
27/12/2019,8.10,NC,C,N,,,,,,,
23/12/2019,9.00,NC,C,N,,,,,,,
20/12/2019,6.90,C,C,N,,,,,,,
19/12/2019,7.10,NC,C,N,,,,,,,
18/12/2019,7.10,NC,C,N,,,,,,,
16/12/2019,8.90,NC,C,N,,,,,,,
13/12/2019,7.40,NC,C,N,,,,,,,
11/12/2019,7.90,NC,C,N,,,,,,,
10/12/2019,8.20,NC,C,N,,,,,,,
09/12/2019,8.20,NC,C,N,,,,,,,
06/12/2019,7.20,NC,C,N,,,,,,,
05/12/2019,7.60,NC,C,N,,,,,,,
04/12/2019,8.20,NC,C,N,,,,,,,
03/12/2019,8.70,NC,C,N,,,,,,,
02/12/2019,9.10,NC,NC,N,,,,,,,
29/11/2019,7.80,NC,C,N,,,,,,,
28/11/2019,8.20,NC,C,N,,,,,,,
25/11/2019,9.10,NC,NC,N,,,,,,,
21/11/2019,8.10,NC,C,N,,,,,,,
20/11/2019,7.10,NC,C,N,,,,,,,
19/11/2019,8.20,NC,C,N,,,,,,,
18/11/2019,9.70,NC,NC,N,,,,,,,
15/11/2019,9.80,NC,NC,N,,,,,,,
14/11/2019,7.60,NC,C,N,,,,,,,
13/11/2019,4.90,C,C,N,,,,,,,
12/11/2019,7.80,NC,C,N,,,,,,,
11/11/2019,8.70,NC,C,N,,,,,,,
08/11/2019,8.90,NC,C,N,,,,,,,
07/11/2019,8.90,NC,C,N,,,,,,,
06/11/2019,8.90,NC,C,N,,,,,,,
05/11/2019,8.70,NC,C,N,,,,,,,
04/11/2019,5.30,C,C,N,,,,,,,
31/10/2019,10.30,NC,NC,N,,,,,,,
30/10/2019,7.60,NC,C,N,,,,,,,
29/10/2019,8.40,NC,C,N,,,,,,,
28/10/2019,8.70,NC,C,N,,,,,,,
25/10/2019,8.30,NC,C,N,,,,,,,
24/10/2019,8.70,NC,C,N,,,,,,,
23/10/2019,9.10,NC,NC,N,,,,,,,
22/10/2019,7.80,NC,C,N,,,,,,,
21/10/2019,7.80,NC,C,N,,,,,,,
18/10/2019,9.10,NC,NC,N,,,,,,,
17/10/2019,7.80,NC,C,N,,,,,,,
16/10/2019,9.10,NC,NC,N,,,,,,,
15/10/2019,9.40,NC,NC,N,,,,,,,
14/10/2019,9.10,NC,NC,N,,,,,,,
11/10/2019,9.40,NC,NC,N,,,,,,,
10/10/2019,8.40,NC,C,N,,,,,,,
08/10/2019,9.10,NC,NC,N,,,,,,,
07/10/2019,9.20,NC,NC,N,,,,,,,
04/10/2019,7.40,NC,C,N,,,,,,,
03/10/2019,9.30,NC,NC,N,,,,,,,
02/10/2019,7.90,NC,C,N,,,,,,,
01/10/2019,8.20,NC,C,N,,,,,,,
30/09/2019,9.80,NC,NC,N,,,,,,,
27/09/2019,10.20,NC,NC,N,,,,,,,
26/09/2019,9.90,NC,NC,N,,,,,,,
25/09/2019,9.60,NC,NC,N,,,,,,,
24/09/2019,10.10,NC,NC,N,,,,,,,
23/09/2019,8.40,NC,C,N,,,,,,,
20/09/2019,10.40,NC,NC,N,,,,,,,
19/09/2019,13.20,NC,NC,N,,,,,,,
18/09/2019,12.20,NC,NC,N,,,,,,,
17/09/2019,11.80,NC,NC,N,,,,,,,
16/09/2019,10.10,NC,NC,N,,,,,,,
13/09/2019,9.20,NC,NC,N,,,,,,,
12/09/2019,9.60,NC,NC,N,,,,,,,
11/09/2019,8.50,NC,C,N,,,,,,,
10/09/2019,10.60,NC,NC,N,,,,,,,
09/09/2019,7.90,NC,C,N,,,,,,,
06/09/2019,9.50,NC,NC,N,,,,,,,
05/09/2019,9.80,NC,NC,N,,,,,,,
04/09/2019,10.20,NC,NC,N,,,,,,,
03/09/2019,8.20,NC,C,N,,,,,,,
02/09/2019,10.20,NC,NC,N,,,,,,,
30/08/2019,9.60,NC,NC,N,,,,,,,
29/08/2019,9.60,NC,NC,N,,,,,,,
28/08/2019,9.60,NC,NC,N,,,,,,,
27/08/2019,9.90,NC,NC,N,,,,,,,
26/08/2019,7.80,NC,C,N,,,,,,,
23/08/2019,8.60,NC,C,N,,,,,,,
22/08/2019,9.90,NC,NC,N,,,,,,,
21/08/2019,8.60,NC,C,N,,,,,,,
20/08/2019,9.80,NC,NC,N,,,,,,,
19/08/2019,9.40,NC,NC,N,,,,,,,
14/08/2019,7.90,NC,C,N,,,,,,,
13/08/2019,8.90,NC,C,N,,,,,,,
12/08/2019,9.80,NC,NC,N,,,,,,,
07/08/2019,9.80,NC,NC,N,,,,,,,
06/08/2019,9.10,NC,NC,N,,,,,,,
02/08/2019,9.00,NC,C,N,,,,,,,
01/08/2019,9.60,NC,NC,N,,,,,,,
31/07/2019,9.50,NC,NC,N,,,,,,,
30/07/2019,8.90,NC,C,N,,,,,,,
29/07/2019,9.60,NC,NC,N,,,,,,,
26/07/2019,9.70,NC,NC,N,,,,,,,
25/07/2019,10.20,NC,NC,N,,,,,,,
24/07/2019,10.20,NC,NC,N,,,,,,,
23/07/2019,9.60,NC,NC,N,,,,,,,
22/07/2019,9.30,NC,NC,N,,,,,,,
19/07/2019,9.50,NC,NC,N,,,,,,,
18/07/2019,9.50,NC,NC,N,,,,,,,
17/07/2019,8.60,NC,C,N,,,,,,,
16/07/2019,9.60,NC,NC,N,,,,,,,
15/07/2019,9.80,NC,NC,N,,,,,,,
11/07/2019,8.90,NC,C,N,,,,,,,
09/07/2019,8.90,NC,C,N,,,,,,,
08/07/2019,9.10,NC,NC,N,,,,,,,
05/07/2019,8.50,NC,C,N,,,,,,,
04/07/2019,9.40,NC,NC,N,,,,,,,
03/07/2019,9.70,NC,NC,N,,,,,,,
02/07/2019,9.80,NC,NC,N,,,,,,,
01/07/2019,9.00,NC,C,N,,,,,,,
28/06/2019,8.70,NC,C,N,,,,,,,
27/06/2019,10.20,NC,NC,N,,,,,,,
26/06/2019,11.20,NC,NC,N,,,,,,,
25/06/2019,11.20,NC,NC,N,,,,,,,
24/06/2019,6.00,C,C,N,,,,,,,
21/06/2019,8.80,NC,C,N,,,,,,,
19/06/2019,8.30,NC,C,N,,,,,,,
18/06/2019,9.30,NC,NC,N,,,,,,,
17/06/2019,5.90,C,C,N,,,,,,,
14/06/2019,8.60,NC,C,N,,,,,,,
13/06/2019,8.60,NC,C,N,,,,,,,
12/06/2019,9.10,NC,NC,N,,,,,,,
11/06/2019,8.90,NC,C,N,,,,,,,
07/06/2019,7.30,NC,C,N,,,,,,,
06/06/2019,11.40,NC,NC,N,,,,,,,
05/06/2019,10.20,NC,NC,N,,,,,,,
04/06/2019,14.30,NC,NC,N,,,,,,,
03/06/2019,7.70,NC,C,N,,,,,,,
31/05/2019,8.10,NC,C,N,,,,,,,
30/05/2019,11.10,NC,NC,N,,,,,,,
29/05/2019,9.70,NC,NC,N,,,,,,,
28/05/2019,15.30,NC,NC,N,,,,,,,
27/05/2019,6.80,C,C,N,,,,,,,
24/05/2019,14.60,NC,NC,N,,,,,,,
23/05/2019,9.60,NC,NC,N,,,,,,,
22/05/2019,12.00,NC,NC,N,,,,,,,
21/05/2019,9.80,NC,NC,N,,,,,,,
20/05/2019,5.30,C,C,N,,,,,,,
17/05/2019,9.80,NC,NC,N,,,,,,,
